 Cell_Line,Editing_Strategy,Gene,Matched_Variant_Count,VCF_Output
KOLF2-ARID2-A02,base_edits,ALPK3,1,final_intersections_var/KOLF2-ARID2-A02_ALPK3_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,ALPK3,0,NA
WTC_variants_PASS,base_edits,ALPK3,0,NA
cN8-hNIL,CRISPRoff,ALPL,0,NA
KOLF2-ARID2-A02,CRISPRoff,ALPL,2,final_intersections_var/KOLF2-ARID2-A02_ALPL_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,ALPL,2,final_intersections_var/WTB_variants_PASS_ALPL_CRISPRoff_shared.vcf.gz
WTC_variants_PASS,CRISPRoff,ALPL,0,NA
cN8-hNIL,indels,ALPL,0,NA
KOLF2-ARID2-A02,indels,ALPL,0,NA
WTB_variants_PASS,indels,ALPL,0,NA
WTC_variants_PASS,indels,ALPL,2,final_intersections_var/WTC_variants_PASS_ALPL_indels_shared.vcf.gz
cN8-hNIL,base_edits,ALPL,0,NA
KOLF2-ARID2-A02,base_edits,ALPL,0,NA
WTB_variants_PASS,base_edits,ALPL,0,NA
WTC_variants_PASS,base_edits,ALPL,4,final_intersections_var/WTC_variants_PASS_ALPL_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,ANXA11,0,NA
KOLF2-ARID2-A02,CRISPRoff,ANXA11,0,NA
WTB_variants_PASS,CRISPRoff,ANXA11,0,NA
WTC_variants_PASS,CRISPRoff,ANXA11,0,NA
cN8-hNIL,indels,ANXA11,0,NA
KOLF2-ARID2-A02,indels,ANXA11,1,final_intersections_var/KOLF2-ARID2-A02_ANXA11_indels_shared.vcf.gz
WTB_variants_PASS,indels,ANXA11,1,final_intersections_var/WTB_variants_PASS_ANXA11_indels_shared.vcf.gz
WTC_variants_PASS,indels,ANXA11,1,final_intersections_var/WTC_variants_PASS_ANXA11_indels_shared.vcf.gz
cN8-hNIL,base_edits,ANXA11,0,NA
KOLF2-ARID2-A02,base_edits,ANXA11,0,NA
WTB_variants_PASS,base_edits,ANXA11,0,NA
WTC_variants_PASS,base_edits,ANXA11,0,NA
cN8-hNIL,CRISPRoff,AP1G1,0,NA
KOLF2-ARID2-A02,CRISPRoff,AP1G1,0,NA
WTB_variants_PASS,CRISPRoff,AP1G1,0,NA
WTC_variants_PASS,CRISPRoff,AP1G1,0,NA
cN8-hNIL,indels,AP1G1,0,NA
KOLF2-ARID2-A02,indels,AP1G1,0,NA
WTB_variants_PASS,indels,AP1G1,0,NA
WTC_variants_PASS,indels,AP1G1,1,final_intersections_var/WTC_variants_PASS_AP1G1_indels_shared.vcf.gz
cN8-hNIL,base_edits,AP1G1,0,NA
KOLF2-ARID2-A02,base_edits,AP1G1,0,NA
WTB_variants_PASS,base_edits,AP1G1,0,NA
WTC_variants_PASS,base_edits,AP1G1,0,NA
cN8-hNIL,CRISPRoff,AP2M1,0,NA
KOLF2-ARID2-A02,CRISPRoff,AP2M1,0,NA
WTB_variants_PASS,CRISPRoff,AP2M1,0,NA
WTC_variants_PASS,CRISPRoff,AP2M1,0,NA
cN8-hNIL,indels,AP2M1,1,final_intersections_var/cN8-hNIL_AP2M1_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,AP2M1,1,final_intersections_var/KOLF2-ARID2-A02_AP2M1_indels_shared.vcf.gz
WTB_variants_PASS,indels,AP2M1,0,NA
WTC_variants_PASS,indels,AP2M1,0,NA
cN8-hNIL,base_edits,AP2M1,1,final_intersections_var/cN8-hNIL_AP2M1_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,AP2M1,2,final_intersections_var/KOLF2-ARID2-A02_AP2M1_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,AP2M1,0,NA
WTC_variants_PASS,base_edits,AP2M1,1,final_intersections_var/WTC_variants_PASS_AP2M1_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,ATL1,0,NA
KOLF2-ARID2-A02,CRISPRoff,ATL1,0,NA
WTB_variants_PASS,CRISPRoff,ATL1,0,NA
WTC_variants_PASS,CRISPRoff,ATL1,0,NA
cN8-hNIL,indels,ATL1,1,final_intersections_var/cN8-hNIL_ATL1_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ATL1,0,NA
WTB_variants_PASS,indels,ATL1,0,NA
WTC_variants_PASS,indels,ATL1,1,final_intersections_var/WTC_variants_PASS_ATL1_indels_shared.vcf.gz
cN8-hNIL,base_edits,ATL1,0,NA
KOLF2-ARID2-A02,base_edits,ATL1,0,NA
WTB_variants_PASS,base_edits,ATL1,0,NA
WTC_variants_PASS,base_edits,ATL1,0,NA
cN8-hNIL,CRISPRoff,ATL3,0,NA
KOLF2-ARID2-A02,CRISPRoff,ATL3,0,NA
WTB_variants_PASS,CRISPRoff,ATL3,0,NA
WTC_variants_PASS,CRISPRoff,ATL3,0,NA
cN8-hNIL,indels,ATL3,0,NA
KOLF2-ARID2-A02,indels,ATL3,0,NA
WTB_variants_PASS,indels,ATL3,0,NA
WTC_variants_PASS,indels,ATL3,0,NA
cN8-hNIL,base_edits,ATL3,0,NA
KOLF2-ARID2-A02,base_edits,ATL3,0,NA
WTB_variants_PASS,base_edits,ATL3,0,NA
WTC_variants_PASS,base_edits,ATL3,0,NA
cN8-hNIL,CRISPRoff,ATP1A1,0,NA
KOLF2-ARID2-A02,CRISPRoff,ATP1A1,0,NA
WTB_variants_PASS,CRISPRoff,ATP1A1,0,NA
WTC_variants_PASS,CRISPRoff,ATP1A1,0,NA
cN8-hNIL,indels,ATP1A1,0,NA
KOLF2-ARID2-A02,indels,ATP1A1,0,NA
WTB_variants_PASS,indels,ATP1A1,0,NA
WTC_variants_PASS,indels,ATP1A1,0,NA
cN8-hNIL,base_edits,ATP1A1,0,NA
KOLF2-ARID2-A02,base_edits,ATP1A1,0,NA
WTB_variants_PASS,base_edits,ATP1A1,0,NA
WTC_variants_PASS,base_edits,ATP1A1,0,NA
cN8-hNIL,CRISPRoff,ATP1A2,0,NA
KOLF2-ARID2-A02,CRISPRoff,ATP1A2,0,NA
WTB_variants_PASS,CRISPRoff,ATP1A2,0,NA
WTC_variants_PASS,CRISPRoff,ATP1A2,0,NA
cN8-hNIL,indels,ATP1A2,1,final_intersections_var/cN8-hNIL_ATP1A2_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ATP1A2,0,NA
WTB_variants_PASS,indels,ATP1A2,0,NA
WTC_variants_PASS,indels,ATP1A2,0,NA
cN8-hNIL,base_edits,ATP1A2,0,NA
KOLF2-ARID2-A02,base_edits,ATP1A2,0,NA
WTB_variants_PASS,base_edits,ATP1A2,0,NA
WTC_variants_PASS,base_edits,ATP1A2,0,NA
cN8-hNIL,CRISPRoff,ATP1A3,0,NA
KOLF2-ARID2-A02,CRISPRoff,ATP1A3,0,NA
WTB_variants_PASS,CRISPRoff,ATP1A3,0,NA
WTC_variants_PASS,CRISPRoff,ATP1A3,0,NA
cN8-hNIL,indels,ATP1A3,0,NA
KOLF2-ARID2-A02,indels,ATP1A3,0,NA
WTB_variants_PASS,indels,ATP1A3,0,NA
WTC_variants_PASS,indels,ATP1A3,0,NA
cN8-hNIL,base_edits,ATP1A3,0,NA
KOLF2-ARID2-A02,base_edits,ATP1A3,0,NA
WTB_variants_PASS,base_edits,ATP1A3,0,NA
WTC_variants_PASS,base_edits,ATP1A3,0,NA
cN8-hNIL,CRISPRoff,ATP2B2,0,NA
KOLF2-ARID2-A02,CRISPRoff,ATP2B2,0,NA
WTB_variants_PASS,CRISPRoff,ATP2B2,0,NA
WTC_variants_PASS,CRISPRoff,ATP2B2,0,NA
cN8-hNIL,indels,ATP2B2,1,final_intersections_var/cN8-hNIL_ATP2B2_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,ATP2B2,0,NA
WTB_variants_PASS,indels,ATP2B2,1,final_intersections_var/WTB_variants_PASS_ATP2B2_indels_shared.vcf.gz
WTC_variants_PASS,indels,ATP2B2,0,NA
cN8-hNIL,base_edits,ATP2B2,0,NA
KOLF2-ARID2-A02,base_edits,ATP2B2,0,NA
WTB_variants_PASS,base_edits,ATP2B2,0,NA
WTC_variants_PASS,base_edits,ATP2B2,0,NA
cN8-hNIL,CRISPRoff,BICRA,0,NA
KOLF2-ARID2-A02,CRISPRoff,BICRA,0,NA
WTB_variants_PASS,CRISPRoff,BICRA,0,NA
WTC_variants_PASS,CRISPRoff,BICRA,0,NA
cN8-hNIL,indels,BICRA,0,NA
KOLF2-ARID2-A02,indels,BICRA,0,NA
WTB_variants_PASS,indels,BICRA,0,NA
WTC_variants_PASS,indels,BICRA,1,final_intersections_var/WTC_variants_PASS_BICRA_indels_shared.vcf.gz
cN8-hNIL,base_edits,BICRA,0,NA
KOLF2-ARID2-A02,base_edits,BICRA,0,NA
WTB_variants_PASS,base_edits,BICRA,0,NA
WTC_variants_PASS,base_edits,BICRA,0,NA
cN8-hNIL,CRISPRoff,BSCL2,0,NA
KOLF2-ARID2-A02,CRISPRoff,BSCL2,0,NA
WTB_variants_PASS,CRISPRoff,BSCL2,0,NA
WTC_variants_PASS,CRISPRoff,BSCL2,0,NA
cN8-hNIL,indels,BSCL2,0,NA
KOLF2-ARID2-A02,indels,BSCL2,0,NA
WTB_variants_PASS,indels,BSCL2,0,NA
WTC_variants_PASS,indels,BSCL2,0,NA
cN8-hNIL,base_edits,BSCL2,0,NA
KOLF2-ARID2-A02,base_edits,BSCL2,0,NA
WTB_variants_PASS,base_edits,BSCL2,0,NA
WTC_variants_PASS,base_edits,BSCL2,0,NA
cN8-hNIL,CRISPRoff,C3,0,NA
KOLF2-ARID2-A02,CRISPRoff,C3,0,NA
WTB_variants_PASS,CRISPRoff,C3,0,NA
WTC_variants_PASS,CRISPRoff,C3,0,NA
cN8-hNIL,indels,C3,0,NA
KOLF2-ARID2-A02,indels,C3,0,NA
WTB_variants_PASS,indels,C3,0,NA
WTC_variants_PASS,indels,C3,0,NA
cN8-hNIL,base_edits,C3,1,final_intersections_var/cN8-hNIL_C3_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,C3,0,NA
WTB_variants_PASS,base_edits,C3,0,NA
WTC_variants_PASS,base_edits,C3,0,NA
cN8-hNIL,CRISPRoff,CACNA1C,1,final_intersections_var/cN8-hNIL_CACNA1C_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,CACNA1C,0,NA
WTB_variants_PASS,CRISPRoff,CACNA1C,0,NA
WTC_variants_PASS,CRISPRoff,CACNA1C,0,NA
cN8-hNIL,indels,CACNA1C,1,final_intersections_var/cN8-hNIL_CACNA1C_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,CACNA1C,0,NA
WTB_variants_PASS,indels,CACNA1C,2,final_intersections_var/WTB_variants_PASS_CACNA1C_indels_shared.vcf.gz
WTC_variants_PASS,indels,CACNA1C,1,final_intersections_var/WTC_variants_PASS_CACNA1C_indels_shared.vcf.gz
cN8-hNIL,base_edits,CACNA1C,0,NA
KOLF2-ARID2-A02,base_edits,CACNA1C,0,NA
WTB_variants_PASS,base_edits,CACNA1C,0,NA
WTC_variants_PASS,base_edits,CACNA1C,0,NA
cN8-hNIL,CRISPRoff,CACNA1E,0,NA
KOLF2-ARID2-A02,CRISPRoff,CACNA1E,0,NA
WTB_variants_PASS,CRISPRoff,CACNA1E,0,NA
WTC_variants_PASS,CRISPRoff,CACNA1E,0,NA
cN8-hNIL,indels,CACNA1E,1,final_intersections_var/cN8-hNIL_CACNA1E_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,CACNA1E,0,NA
WTB_variants_PASS,indels,CACNA1E,2,final_intersections_var/WTB_variants_PASS_CACNA1E_indels_shared.vcf.gz
WTC_variants_PASS,indels,CACNA1E,0,NA
cN8-hNIL,base_edits,CACNA1E,0,NA
KOLF2-ARID2-A02,base_edits,CACNA1E,0,NA
WTB_variants_PASS,base_edits,CACNA1E,0,NA
WTC_variants_PASS,base_edits,CACNA1E,0,NA
cN8-hNIL,CRISPRoff,CACNA1S,1,final_intersections_var/cN8-hNIL_CACNA1S_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,CACNA1S,0,NA
WTB_variants_PASS,CRISPRoff,CACNA1S,0,NA
WTC_variants_PASS,CRISPRoff,CACNA1S,0,NA
cN8-hNIL,indels,CACNA1S,5,final_intersections_var/cN8-hNIL_CACNA1S_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,CACNA1S,5,final_intersections_var/KOLF2-ARID2-A02_CACNA1S_indels_shared.vcf.gz
WTB_variants_PASS,indels,CACNA1S,1,final_intersections_var/WTB_variants_PASS_CACNA1S_indels_shared.vcf.gz
WTC_variants_PASS,indels,CACNA1S,2,final_intersections_var/WTC_variants_PASS_CACNA1S_indels_shared.vcf.gz
cN8-hNIL,base_edits,CACNA1S,1,final_intersections_var/cN8-hNIL_CACNA1S_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,CACNA1S,1,final_intersections_var/KOLF2-ARID2-A02_CACNA1S_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,CACNA1S,1,final_intersections_var/WTB_variants_PASS_CACNA1S_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,CACNA1S,0,NA
cN8-hNIL,CRISPRoff,CALM1,0,NA
KOLF2-ARID2-A02,CRISPRoff,CALM1,0,NA
WTB_variants_PASS,CRISPRoff,CALM1,2,final_intersections_var/WTB_variants_PASS_CALM1_CRISPRoff_shared.vcf.gz
WTC_variants_PASS,CRISPRoff,CALM1,0,NA
cN8-hNIL,indels,CALM1,0,NA
KOLF2-ARID2-A02,indels,CALM1,0,NA
WTB_variants_PASS,indels,CALM1,1,final_intersections_var/WTB_variants_PASS_CALM1_indels_shared.vcf.gz
WTC_variants_PASS,indels,CALM1,0,NA
cN8-hNIL,base_edits,CALM1,0,NA
KOLF2-ARID2-A02,base_edits,CALM1,0,NA
WTB_variants_PASS,base_edits,CALM1,0,NA
WTC_variants_PASS,base_edits,CALM1,0,NA
cN8-hNIL,CRISPRoff,CARD11,1,final_intersections_var/cN8-hNIL_CARD11_CRISPRoff_shared.vcf.gz
KOLF2-ARID2-A02,CRISPRoff,CARD11,1,final_intersections_var/KOLF2-ARID2-A02_CARD11_CRISPRoff_shared.vcf.gz
WTB_variants_PASS,CRISPRoff,CARD11,0,NA
WTC_variants_PASS,CRISPRoff,CARD11,0,NA
cN8-hNIL,indels,CARD11,0,NA
KOLF2-ARID2-A02,indels,CARD11,0,NA
WTB_variants_PASS,indels,CARD11,1,final_intersections_var/WTB_variants_PASS_CARD11_indels_shared.vcf.gz
WTC_variants_PASS,indels,CARD11,3,final_intersections_var/WTC_variants_PASS_CARD11_indels_shared.vcf.gz
cN8-hNIL,base_edits,CARD11,1,final_intersections_var/cN8-hNIL_CARD11_base_edits_shared.vcf.gz
KOLF2-ARID2-A02,base_edits,CARD11,1,final_intersections_var/KOLF2-ARID2-A02_CARD11_base_edits_shared.vcf.gz
WTB_variants_PASS,base_edits,CARD11,2,final_intersections_var/WTB_variants_PASS_CARD11_base_edits_shared.vcf.gz
WTC_variants_PASS,base_edits,CARD11,4,final_intersections_var/WTC_variants_PASS_CARD11_base_edits_shared.vcf.gz
cN8-hNIL,CRISPRoff,CCND2,0,NA
KOLF2-ARID2-A02,CRISPRoff,CCND2,0,NA
WTB_variants_PASS,CRISPRoff,CCND2,0,NA
WTC_variants_PASS,CRISPRoff,CCND2,0,NA
cN8-hNIL,indels,CCND2,1,final_intersections_var/cN8-hNIL_CCND2_indels_shared.vcf.gz
KOLF2-ARID2-A02,indels,CCND2,0,NA
WTB_variants_PASS,indels,CCND2,0,NA
WTC_variants_PASS,indels,CCND2,0,NA
cN8-hNIL,base_edits,CCND2,0,NA
KOLF2-ARID2-A02,base_edits,CCND2,0,NA
WTB_variants_PASS,base_edits,CCND2,0,NA
WTC_variants_PASS,base_edits,CCND2,0,NA
cN8-hNIL,CRISPRoff,CEACAM16,0,NA
